Year,Country_Name,Record_Count
2021,Afghanistan,134
2021,Albania,134
2021,Algeria,134
2021,Angola,134
2021,Antigua and Barbuda,134
2021,Argentina,134
2021,Armenia,134
2021,Australia,134
2021,Austria,134
2021,Azerbaijan,134
2021,Bahamas,134
2021,Bahrain,134
2021,Bangladesh,134
2021,Barbados,134
2021,Belarus,134
2021,Belgium,134
2021,Belize,134
2021,Benin,134
2021,Bhutan,134
2021,Bolivia (Plurinational State of),134
2021,Bosnia and Herzegovina,134
2021,Botswana,134
2021,Brazil,134
2021,Brunei Darussalam,134
2021,Bulgaria,134
2021,Burkina Faso,134
2021,Burundi,134
2021,Cabo Verde,134
2021,Cambodia,134
2021,Cameroon,134
2021,Canada,134
2021,Central African Republic,134
2021,Chad,134
2021,Chile,134
2021,China,134
2021,Colombia,134
2021,Comoros,134
2021,Congo,134
2021,Costa Rica,134
2021,Croatia,134
2021,Cuba,134
2021,Cyprus,134
2021,Czechia,134
2021,Côte d'Ivoire,134
2021,Democratic People's Republic of Korea,134
2021,Democratic Republic of the Congo,134
2021,Denmark,134
2021,Djibouti,134
2021,Dominican Republic,134
2021,Ecuador,134
2021,Egypt,134
2021,El Salvador,134
2021,Equatorial Guinea,134
2021,Eritrea,134
2021,Estonia,134
2021,Eswatini,134
2021,Ethiopia,134
2021,Fiji,134
2021,Finland,134
2021,France,134
2021,Gabon,134
2021,Gambia,134
2021,Georgia,134
2021,Germany,134
2021,Ghana,134
2021,Greece,134
2021,Grenada,134
2021,Guatemala,134
2021,Guinea,134
2021,Guinea-Bissau,134
2021,Guyana,134
2021,Haiti,134
2021,Honduras,134
2021,Hungary,134
2021,Iceland,134
2021,India,134
2021,Indonesia,134
2021,Iran (Islamic Republic of),134
2021,Iraq,134
2021,Ireland,134
2021,Israel,134
2021,Italy,134
2021,Jamaica,134
2021,Japan,134
2021,Jordan,134
2021,Kazakhstan,134
2021,Kenya,134
2021,Kiribati,134
2021,Kuwait,134
2021,Kyrgyzstan,134
2021,Lao People's Democratic Republic,134
2021,Latvia,134
2021,Lebanon,134
2021,Lesotho,134
2021,Liberia,134
2021,Libya,134
2021,Lithuania,134
2021,Luxembourg,134
2021,Madagascar,134
2021,Malawi,134
2021,Malaysia,134
2021,Maldives,134
2021,Mali,134
2021,Malta,134
2021,Mauritania,134
2021,Mauritius,134
2021,Mexico,134
2021,Micronesia (Federated States of),134
2021,Mongolia,134
2021,Montenegro,134
2021,Morocco,134
2021,Mozambique,134
2021,Myanmar,134
2021,Namibia,134
2021,Nepal,134
2021,Netherlands (Kingdom of the),134
2021,New Zealand,134
2021,Nicaragua,134
2021,Niger,134
2021,Nigeria,134
2021,North Macedonia,134
2021,Norway,134
2021,Oman,134
2021,Pakistan,134
2021,Panama,134
2021,Papua New Guinea,134
2021,Paraguay,134
2021,Peru,134
2021,Philippines,134
2021,Poland,134
2021,Portugal,134
2021,Qatar,134
2021,Republic of Korea,134
2021,Republic of Moldova,134
2021,Romania,134
2021,Russian Federation,134
2021,Rwanda,134
2021,Saint Lucia,134
2021,Saint Vincent and the Grenadines,134
2021,Samoa,134
2021,Sao Tome and Principe,134
2021,Saudi Arabia,134
2021,Senegal,134
2021,Serbia,134
2021,Seychelles,134
2021,Sierra Leone,134
2021,Singapore,134
2021,Slovakia,134
2021,Slovenia,134
2021,Solomon Islands,134
2021,Somalia,134
2021,South Africa,134
2021,South Sudan,134
2021,Spain,134
2021,Sri Lanka,134
2021,Sudan,134
2021,Suriname,134
2021,Sweden,134
2021,Switzerland,134
2021,Syrian Arab Republic,134
2021,Tajikistan,134
2021,Thailand,134
2021,Timor-Leste,134
2021,Togo,134
2021,Tonga,134
2021,Trinidad and Tobago,134
2021,Tunisia,134
2021,Turkmenistan,134
2021,Türkiye,134
2021,Uganda,134
2021,Ukraine,134
2021,United Arab Emirates,134
2021,United Kingdom of Great Britain and Northern Ireland,134
2021,United Republic of Tanzania,134
2021,United States of America,134
2021,Uruguay,134
2021,Uzbekistan,134
2021,Vanuatu,134
2021,Venezuela (Bolivarian Republic of),134
2021,Viet Nam,134
2021,Yemen,134
2021,Zambia,134
2021,Zimbabwe,134
